UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
222178,Abilene Christian University,1600 Campus Court,Abilene,TX,79699,48,6,Dr. Phil Schubert,President,3256742000,3256742958,750851900,353700,1,www.acu.edu,www.acu.edu/admissions,www.acu.edu/campusoffices/sfs/index.html,www.acuadmissions.org/start/apply.htm,www.acu.edu/campusoffices/sfs/calculator/freshmen.html,2,1,2,9,1,1,14,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,4,10,4,13,21,2,2,10180,1,-2,-2,2, ,-2,48441,Taylor County,4819,-99.70954,32.46915
223232,Baylor University,500 Speight Ave.,Waco,TX,76798,48,6,Kenneth W. Starr,President,2547101011, ,741159753,354500,1,www.baylor.edu,www.baylor.edu/adm,www.baylor.edu/sfs,www.baylor.edu/adm,www.baylor.edu/sfs/netpricecalculator/npcalc.htm,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,11,15,12,4,16,16,2,4,47380,1,-2,-2,2, ,-2,48309,McLennan County,4817,-97.119359,31.545956
227526,Prairie View A & M University,FM 1098 Road & University Drive,Prairie View,TX,77446,48,6,George C. Wright,President,9362613311,9362611031,746001078,363000,1,www.pvamu.edu,www.pvamu.edu/pages/2564.asp,www.pvamu.edu/pages/1630.asp,www.applytexas.org/adappc/gen/c_start.WBX?s_logon_msg=Y,www.pvamu.edu/pages/6263.asp,1,1,1,9,1,1,12,1,1,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,PVAMU,2,18,13,18,9,4,13,21,1,3,26420,1,288,-2,1,Texas A&M University System,148020,48473,Waller County,4810,-95.992066,30.094591
227757,Rice University,6100 S Main,Houston,TX,77005-1827,48,6,David W. Leebron,President,7133480000, ,741109620,360400,1,www.rice.edu,futureowls.rice.edu/home.aspx,financialaid.rice.edu/,futureowls.rice.edu/futureowls/Apply.asp,rice.studentaidcalculator.com/survey.aspx,2,1,2,9,1,1,12,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,8,15,12,5,14,15,2,3,26420,1,288,-2,2, ,-2,48201,Harris County,4802,-95.403625,29.716485
227845,Saint Edward's University,3001 S Congress Ave,Austin,TX,78704-6489,48,6,George E Martin,President,5124488400,5124488492,741109641,362100,1,www.stedwards.edu,www.stedwards.edu/admission,think.stedwards.edu/studentfinancialservices,www.stedwards.edu/admission/onlineapplication,www.stedwards.edu/calculator,2,1,2,7,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,"St. Edward's University, St. Edward's",2,18,10,7,8,3,13,22,2,2,12420,1,-2,-2,2, ,-2,48453,Travis County,4821,-97.75763,30.229844
227881,Sam Houston State University,1806 Ave J,Huntsville,TX,77340,48,6,Dr. Dana L. Gibson,President,9362941111,9362943758,746001430,360600,1,www.shsu.edu/,www.shsu.edu/admissions,www.shsu.edu/~fao_www/,www.shsu.edu/admissions/apply-texas.html,collegeforalltexans.com/apps/CollegeMoney/,1,1,1,9,1,1,12,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,17,13,18,11,3,15,21,2,4,26660,2,288,-2,1,Texas State University System,148040,48471,Walker County,4808,-95.5519,30.7247
228246,Southern Methodist University,6425 Boaz St,Dallas,TX,75275-0221,48,6,R Gerald Turner,President,2147682000, ,750800689,361300,1,www.smu.edu,www.smu.edu/admission,www.smu.edu/Admission/FinancialAid,www.smu.edu/Admission/Apply,smu.edu/financial_aid/netprice/,2,1,2,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,SMU,2,16,11,15,12,5,13,15,2,4,19100,1,206,-2,2, ,-2,48113,Dallas County,4832,-96.784855,32.845254
228431,Stephen F Austin State University,"2008 Alumin Drive, Rusk 206",Nacogdoches,TX,75961,48,6,Baker Pattillo,President,9364682011,9364683849,756002514,362400,1,www.sfasu.edu,www.sfasu.edu/admissions/,www.sfasu.edu/faid/,www.sfasu.edu/admissions/prospective.asp,www.sfasu.edu/faid/npc.asp,1,1,1,9,1,1,12,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,"SFASU, SFA, Stephen F, Stephen F. Austin",2,18,10,18,11,3,16,21,2,4,34860,2,-2,-2,2, ,-2,48347,Nacogdoches County,4801,-94.58546,31.58562
228723,Texas A & M University-College Station,805 Rudder Tower,College Station,TX,77843-1244,48,6,Mark A. Hussey,Interim President,9798453211,9798478737,746000531,363200,1,www.tamu.edu,admissions.tamu.edu,financialaid.tamu.edu,admissions.tamu.edu/freshmen/default.aspx,www.collegeforalltexans.com/apps/CollegeMoney/,1,1,1,9,1,1,11,1,2,2,1,2,13,1,A ,-2,-2,-2,1,1,1,1,1,Texas A&M | TAMU,2,15,11,14,12,4,15,15,1,5,17780,1,-2,-2,1,Texas A&M University System,148020,48041,Brazos County,4817,-96.340322,30.613226
228875,Texas Christian University,2800 S University Dr,Fort Worth,TX,76129,48,6,"Victor J. Boschini, Jr.",Chancellor,8172577000,8172577268,750827465,363600,1,www.tcu.edu/,admissions.tcu.edu,fam.tcu.edu,admissions.tcu.edu/apply/default.asp,www.financialaid.tcu.edu/npc.asp,2,1,2,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,TCU,2,17,13,15,12,3,13,16,2,3,19100,1,206,-2,2, ,-2,48439,Tarrant County,4812,-97.361537,32.709568
229063,Texas Southern University,3100 Cleburne St,Houston,TX,77004,48,6,"John M. Rudley, Ph.D.",President,7133137011,7133137851,746001391,364200,1,www.tsu.edu,em.tsu.edu/admissions/index.php,em.tsu.edu/financialaid/index.php,https://www.applytexas.org/adappc/gen/c_start.WBX,em.tsu.edu/comptroller/tuition.php,1,1,1,9,1,1,11,1,1,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,TSU,2,17,13,18,9,4,12,16,2,3,26420,1,288,-2,2, ,-2,48201,Harris County,4818,-95.361961,29.722468
228459,Texas State University,601 University Dr,San Marcos,TX,78666,48,6,Denise Trauth,President,5122452111,5122459020,746002248,361500,1,www.txstate.edu,www.admissions.txstate.edu/,www.finaid.txstate.edu/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.finaid.txstate.edu/helpful/npc.html,1,1,1,9,1,1,11,1,2,2,2,2,23,1,A ,-2,-2,-2,1,1,1,1,1,Texas State|Texas State University-San Marcos|Southwest Texas State University|Southwest Texas State|SWT|SWTSU|Texas State San Marcos|TxSt|TxState|TS|,2,18,10,18,11,4,15,21,2,5,12420,1,-2,-2,1,Texas State University System,148040,48209,Hays County,4835,-97.936392,29.889202
229115,Texas Tech University,Broadway and University Avenue,Lubbock,TX,79409-5005,48,6,"M. Duane Nellis, Ph.D",President,8067422011,8067420062,756002622,364400,1,www.ttu.edu,www.admissions.ttu.edu/,www.fina.ttu.edu/,www.applytexas.org/,www.depts.ttu.edu/financialaid/calculators.asp,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,15,11,4,16,15,2,5,31180,1,352,-2,1,Texas Tech University System,148050,48303,Lubbock County,4819,-101.876917,33.580309
